#IRASPSC, Chemtype
IRAS 18303-0519,--
IRAS 05251-1244,--
IRAS 19597+3327A,--
IRAS 20002+3322,--
IRAS 20028+3910,--
IRAS 20081+2720,--
IRAS 18216-1617,O
IRAS 19161+2343,O
IRAS 19178-2620,O
IRAS 05377+3548,--
IRAS 19327+3024,--
IRAS 05388-0147,--
IRAS 17239-2812,O
IRAS 19422+3506,O
IRAS 23541+7031,--
IRAS 18595+0107,--
IRAS 06193-0349,O
IRAS 22540+6146,--
IRAS 22544+6141,--
IRAS 22548+6147,--
IRAS 05073+5248,O
IRAS 17441-2411,--
IRAS 04395+3601,--
IRAS 18535+0726,O
IRAS 21554+6204,O
IRAS 18139-1952,--
IRAS 18155-1206,--
IRAS 06050-0623,--
IRAS 19244+1115,O
IRAS 19396+1637,--
IRAS 18502-0253,--
IRAS 03149+3244,--
IRAS 17565-2035,O
IRAS 18298-2111,O
IRAS 03206+6521,O
IRAS 18437-0643,O
IRAS 20547+0247,O
IRAS 21305+2118,O
IRAS 19566+3423,O
IRAS 18162-0246,O
IRAS 22133+5837,--
IRAS 22177+5936,O
IRAS 19288+2923,O
IRAS 01304+6211,O
IRAS 19117+1107,--
IRAS 20015+3019,O
IRAS 18348-0526,O
IRAS 18376-0500,O
IRAS 18257-1000,O
IRAS 18273-0738,O
IRAS 18009-2407,O
IRAS 21282+5050,--
IRAS 19352+2030,O
IRAS 18327-0715,O
IRAS 18560+0638,O
IRAS 19374+2359,--
IRAS 17417-2904,--
IRAS 17423-2855,O
IRAS 18445-0238,O
IRAS 18450-0148,O
IRAS 18458-0213,--
IRAS 18460-0254,O
IRAS 18385-0617,O
IRAS 19283+1944,O
IRAS 18431-0403,O
IRAS 15223-0203,--
IRAS 18044-2927,--
IRAS 15255+1944,O
IRAS 14247+0454,O
IRAS 09425+3444,O
IRAS 09429-2148,O
IRAS 09452+1330,C
IRAS 08200-2528,--
IRAS 08220-0821,--
IRAS 00042+4248,O
IRAS 00213+3817,S
IRAS 17539+1037,--
IRAS 19126-0708,S
IRAS 18288-0207,--
IRAS 03170+3150,--
IRAS 05151+6312,O
IRAS 20077-0625,O
IRAS 18194-2708,C
IRAS 06349-0121,O
IRAS 06363+5954,O
IRAS 17265-0725,--
IRAS 19175-0807,C
IRAS 18349+1023,O
IRAS 06491-0654,--
IRAS 06500+0829,O
IRAS 05411+6957,O
IRAS 17361+5746,--
IRAS 02316+6455,O
IRAS 02351-2711,O
IRAS 03507+1115,O
IRAS 11445+4344,--
IRAS 05351-0147,--
IRAS 06027-1628,--
IRAS 19474-0744,O
IRAS 20440-0105,O
IRAS 10411+6902,O
IRAS 17297+1747,C
IRAS 18076-1034,O
IRAS 10131+3049,C
IRAS 19059-2219,O
IRAS 13172+4547,--
IRAS 02168-0312,O
IRAS 02185+5622,--
IRAS 02192+5821,O
IRAS 23420+5618,O
IRAS 06176-1036,C
IRAS 19536+3237,--
IRAS 19550-0201,O
IRAS 03229+4721,C
IRAS 18560-2954,O
IRAS 06250+6134,--
IRAS 06300+6058,O
IRAS 07209-2540,O
IRAS 01037+1219,O
IRAS 01159+7220,S
IRAS 23166+1655,C
IRAS 23320+4316,C
IRAS 23365+5159,--
IRAS 07585-1242,O
IRAS 04566+5606,O
IRAS 20502+4709,--
IRAS 21543-1421,--
IRAS 02469+5646,O
IRAS 03030+5532,--
IRAS 23013+3735,--
IRAS 17049-2440,C
IRAS 18397+1738,C
IRAS 18240+2326,C
IRAS 04166+4056,--
IRAS 19296+4331,--
IRAS 17102-1031,O
IRAS 17119+0859,O
IRAS 09116-2439,C
IRAS 05559+7430,O
IRAS 18501-2132,--
IRAS 18050-2213,O
IRAS 20322+4215,--
IRAS 18008-2425,--
IRAS 18009-2019,O
IRAS 17590-2337,--
IRAS 17571-2401,--
IRAS 18204-1344,O
IRAS 18398-0220,C
IRAS 20194+3646,O
IRAS 20197+3722,--
IRAS 23496+6131,O
IRAS 17513-2313,O
IRAS 18072-1954,--
IRAS 18090-1853,--
IRAS 19008+0726,C
IRAS 23416+6130,O
IRAS 17441-2822,--
IRAS 20270+3948,O
IRAS 18135-1641,O
IRAS 20241+3811,O
IRAS 20312+4035,--
IRAS 22097+5647,O
IRAS 18387-0423,O
IRAS 18248-1229,--
IRAS 17482-2824,O
IRAS 17488-2800,O
IRAS 18505+0116,--
IRAS 01556+4511,O
IRAS 15214-2244,O
IRAS 16081+2511,O
IRAS 04020-1551,O
IRAS 16418+5459,O
IRAS 12277+0441,O
IRAS 12380+5607,O
IRAS 14219+2555,O
IRAS 12427+4542,C
IRAS 21419+5832,O
IRAS 21439-0226,O
IRAS 09448+1139,O
IRAS 00192-2020,S
IRAS 00205+5530,O
IRAS 17553+4521,--
IRAS 19503+2219,--
IRAS 10491-2059,C
IRAS 13462-2807,O
IRAS 20038-2722,O
IRAS 22017+2806,O
IRAS 22035+3506,O
IRAS 22216+3100,--
IRAS 14390+3147,--
IRAS 18359+0847,O
IRAS 08375-1707,--
IRAS 08138+1152,O
IRAS 05027-2158,O
IRAS 05028+0106,C
IRAS 15341+1515,--
IRAS 14371+3245,O
IRAS 05265-0443,O
IRAS 05292+1833,--
IRAS 13114-0232,O
IRAS 23558+5106,O
IRAS 20396+4757,C
IRAS 20431+1754,--
IRAS 13001+0527,O
IRAS 10580-1803,O
IRAS 21341+4508,--
IRAS 19232+5008,--
IRAS 19486+3247,S
IRAS 19007-2247,O
IRAS 16235+1900,O
IRAS 23412-1533,O
IRAS 22525-2952,O
IRAS 05090-1154,O
IRAS 06331+3829,C
IRAS 07245+4605,S
IRAS 23173+2600,O
IRAS 08003+3629,--
IRAS 15566+3609,O
IRAS 16011+4722,O
IRAS 20248-2825,O
IRAS 05592-0221,--
IRAS 06036-2411,--
IRAS 13269-2301,O
IRAS 03415+8010,--
IRAS 17123+1426,--
IRAS 09076+3110,S
IRAS 05132+5331,O
IRAS 21044-1637,O
IRAS 21088+6817,O
IRAS 05524+0723,O
IRAS 05528+2010,O
IRAS 15492+4837,S
IRAS 21389+5405,O
IRAS 19039+0809,O
